Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
829	0.268999	171	0.391813	1.997076	829	0.268999	0.290000	0.300803	
828	0.253623	172	0.523256	1.997076	828	0.253623	0.300000	0.300801	
819	0.304029	181	0.447514	1.997076	819	0.304029	0.330000	0.300890	
855	0.231579	145	0.372414	1.997076	855	0.231579	0.252000	0.300742	
837	0.242533	163	0.552147	1.997076	837	0.242533	0.293000	0.300718	
827	0.244256	173	0.410405	1.997076	827	0.244256	0.273000	0.300635	
807	0.226766	193	0.601036	1.997076	807	0.226766	0.299000	0.300630	
824	0.240291	176	0.443182	1.997076	824	0.240291	0.276000	0.300556	
823	0.230863	177	0.440678	1.997076	823	0.230863	0.268000	0.300459	
842	0.263658	158	0.537975	1.997076	842	0.263658	0.307000	0.300478	
835	0.270659	165	0.575758	1.997076	835	0.270659	0.321000	0.300539	
841	0.248514	159	0.452830	1.997076	841	0.248514	0.281000	0.300481	
830	0.231325	170	0.341176	1.997076	830	0.231325	0.250000	0.300332	
822	0.221411	178	0.460674	1.997076	822	0.221411	0.264000	0.300226	
825	0.284848	175	0.520000	1.997076	825	0.284848	0.326000	0.300301	
820	0.291463	180	0.505556	1.997076	820	0.291463	0.330000	0.300388	
833	0.250900	167	0.514970	1.997076	833	0.250900	0.295000	0.300372	
822	0.278589	178	0.471910	1.997076	822	0.278589	0.313000	0.300409	
818	0.227384	182	0.489011	1.997076	818	0.227384	0.275000	0.300335	
832	0.275240	168	0.458333	1.997076	832	0.275240	0.306000	0.300352	
820	0.247561	180	0.472222	1.997076	820	0.247561	0.288000	0.300316	
830	0.286747	170	0.505882	1.997076	830	0.286747	0.324000	0.300384	
844	0.238152	156	0.576923	1.997076	844	0.238152	0.291000	0.300357	
789	0.285171	211	0.578199	1.997076	789	0.285171	0.347000	0.300491	
835	0.274251	165	0.418182	1.997076	835	0.274251	0.298000	0.300483	
830	0.281928	170	0.458824	1.997076	830	0.281928	0.312000	0.300516	
843	0.275208	157	0.433121	1.997076	843	0.275208	0.300000	0.300515	
817	0.230110	183	0.382514	1.997076	817	0.230110	0.258000	0.300395	
822	0.268856	178	0.584270	1.997076	822	0.268856	0.325000	0.300464	
810	0.214815	190	0.505263	1.997076	810	0.214815	0.270000	0.300378	
821	0.264312	179	0.508380	1.997076	821	0.264312	0.308000	0.300400	
837	0.271207	163	0.546012	1.997076	837	0.271207	0.316000	0.300443	
827	0.245466	173	0.502890	1.997076	827	0.245466	0.290000	0.300414	
866	0.287529	134	0.373134	1.997076	866	0.287529	0.299000	0.300410	
835	0.280240	165	0.496970	1.997076	835	0.280240	0.316000	0.300453	
823	0.278250	177	0.508475	1.997076	823	0.278250	0.319000	0.300505	
804	0.268657	196	0.479592	1.997076	804	0.268657	0.310000	0.300531	
821	0.236297	179	0.418994	1.997076	821	0.236297	0.269000	0.300444	
832	0.251202	168	0.482143	1.997076	832	0.251202	0.290000	0.300416	
833	0.252101	167	0.532934	1.997076	833	0.252101	0.299000	0.300412	
816	0.258578	184	0.451087	1.997076	816	0.258578	0.294000	0.300394	
825	0.250909	175	0.468571	1.997076	825	0.250909	0.289000	0.300363	
820	0.253659	180	0.483333	1.997076	820	0.253659	0.295000	0.300349	
854	0.256440	146	0.575342	1.997076	854	0.256440	0.303000	0.300356	
846	0.267139	154	0.370130	1.997076	846	0.267139	0.283000	0.300309	
836	0.258373	164	0.567073	1.997076	836	0.258373	0.309000	0.300333	
806	0.297767	194	0.530928	1.997076	806	0.297767	0.343000	0.300447	
821	0.277710	179	0.446927	1.997076	821	0.277710	0.308000	0.300467	
818	0.243276	182	0.532967	1.997076	818	0.243276	0.296000	0.300455	
